MonthYear,EventCode,N_events
201002,139,1
201002,0253,1
201002,192,3
201002,173,32
201002,051,69
201002,180,4
201002,120,12
201002,072,3
201002,015,1
201002,033,3
201002,014,7
201002,017,1
201002,071,4
201002,112,17
201002,074,1
201002,0332,1
201002,054,1
201002,113,2
201002,080,3
201002,010,68
201002,012,11
201002,022,3
201002,1712,3
201002,0841,5
201002,075,2
201002,036,24
201002,030,15
201002,190,17
201002,087,2
201002,020,65
201002,130,1
201002,195,2
201002,062,1
201002,013,17
201002,125,3
201002,100,12
201002,110,14
201002,0231,1
201002,174,1
201002,016,11
201002,111,10
201002,128,2
201002,090,10
201002,141,4
201002,114,3
201002,084,6
201002,057,6
201002,046,32
201002,043,82
201002,060,6
201002,154,2
201002,193,3
201002,028,1
201002,070,10
201002,050,9
201002,040,41
201002,031,2
201002,0353,1
201002,133,1
201002,0861,1
201002,026,3
201002,042,56
201003,043,21
201003,051,5
201003,033,1
201003,130,3
201003,173,21
201003,075,1
201003,120,3
201003,071,11
201003,111,3
201003,036,1
201003,070,1
201003,042,6
201003,141,1
201003,112,4
201003,110,5
201003,031,2
201003,0311,1
201003,035,1
201003,057,3
201003,040,3
201003,172,1
201003,013,4
201003,016,1
201003,020,9
201003,050,2
201003,012,9
201003,010,16
201003,1712,2
201003,060,2
201003,190,7
201003,074,3
201003,090,6
201004,036,24
201004,190,7
201004,012,4
201004,014,4
201004,046,7
201004,070,10
201004,050,3
201004,180,1
201004,100,1
201004,043,30
201004,013,9
201004,114,4
201004,172,3
201004,016,3
201004,130,1
201004,110,4
201004,057,1
201004,061,2
201004,120,9
201004,072,2
201004,040,14
201004,1123,2
201004,0841,4
201004,090,8
201004,042,42
201004,111,4
201004,060,2
201004,173,8
201004,022,2
201004,044,1
201004,020,13
201004,071,22
201004,112,20
201004,051,28
201004,018,4
201004,161,1
201004,081,1
201004,062,6
201004,017,11
201004,010,37
201004,080,1
201005,070,3
201005,042,16
201005,180,8
201005,062,1
201005,061,1
201005,043,36
201005,120,6
201005,040,11
201005,033,1
201005,054,1
201005,173,6
201005,011,1
201005,071,8
201005,014,1
201005,161,11
201005,0831,4
201005,060,1
201005,110,2
201005,046,16
201005,017,3
201005,013,15
201005,0231,4
201005,112,6
201005,111,1
201005,090,15
201005,190,3
201005,010,22
201005,020,10
201005,036,3
201005,057,7
201005,138,3
201005,051,12
201005,141,1
201005,012,10
201005,030,3
201005,0841,4
201006,1822,2
201006,173,3
201006,0874,1
201006,060,6
201006,057,1
201006,084,2
201006,022,1
201006,036,3
201006,192,1
201006,023,2
201006,010,21
201006,040,6
201006,080,3
201006,012,7
201006,0231,2
201006,041,3
201006,073,2
201006,017,2
201006,0841,2
201006,020,13
201006,030,2
201006,043,32
201006,062,1
201006,013,3
201006,130,3
201006,161,2
201006,042,21
201006,046,9
201006,190,4
201006,070,5
201006,110,1
201006,090,6
201006,120,6
201006,128,1
201006,111,3
201006,193,1
201006,125,2
201006,100,2
201006,054,2
201006,051,10
201007,010,64
201007,145,1
201007,090,1
201007,080,1
201007,1821,5
201007,0871,4
201007,014,4
201007,052,1
201007,083,2
201007,046,8
201007,045,1
201007,033,1
201007,192,1
201007,193,2
201007,186,1
201007,112,11
201007,130,2
201007,030,5
201007,173,10
201007,172,1
201007,040,23
201007,012,6
201007,020,50
201007,013,14
201007,032,1
201007,100,4
201007,070,10
201007,120,14
